id,source,author,text,created_utc,url,keyword,score,extras,lang,text_en,sentiment_score,sentiment_label,bert_label,bert_score,bert_sentiment_score,emo_label,emo_score,tox_is_toxic,tox_max_label,tox_max_score
115632818548535513,mastodon,waynedixon,"iPhone Availability for Saturday, November 29th, 2025Here is the iPhone Availability for the iPhone 17, iPhone 17 Pro/Pro Max, and iPhone Air for November 29th, 2025. Some carrier devices now have January delivery dates, be sure to order soon if you want devices for the holidays.#iPhoneAvailability #DeviceAvailability #iPhone https://www.waynedixon.com/2025/11/29/iphone-availability-november-29-2025",2025-11-29 11:46:26.940000+00:00,https://mastodon.social/@waynedixon/115632818548535513,iPhone,0,,en,"iPhone Availability for Saturday, November 29th, 2025Here is the iPhone Availability for the iPhone 17, iPhone 17 Pro/Pro Max, and iPhone Air for November 29th, 2025. Some carrier devices now have January delivery dates, be sure to order soon if you want devices for the holidays.#iPhoneAvailability #DeviceAvailability #iPhone https://www.waynedixon.com/2025/11/29/iphone-availability-november-29-2025",0.3818,positive,neutral,0.5067414045333862,0.0,caring,0.11867103725671768,False,toxicity,0.00034289900213479996
115632716868058785,mastodon,jwcph@helvede.net,"From the ongoing battle with shitty tech: Every 3-4 times I set a countdown timer on my phone, it just runs out without sounding the alert... 🙄🤬#iphone #UX #tech",2025-11-29 11:20:34+00:00,https://helvede.net/@jwcph/115632716800833930,iPhone,0,,en,"From the ongoing battle with shitty tech: Every 3-4 times I set a countdown timer on my phone, it just runs out without sounding the alert... 🙄🤬#iphone #UX #tech",-0.7957,negative,negative,0.9450169205665588,-0.9450169205665588,disappointment,0.1701592057943344,True,obscene,0.9182689189910889
115632541630448987,mastodon,nickharrison@mastodonapp.uk,Copenhagen #airport #terminal3🛫#style #design #art #copenhagan #travel #aircraft #copenhagen #denmark #iphone #snap_moods #snap_depthoffield #snap_vip_member #snap_artgallery #snap_challenge #snap_denmark #snap_edit #snap_scandinavia #snap_scandi #snap_nordic #snap_denmark #snap_europe #snap_shops #snap_airport #snap_fun #snap_world #snap_travel #snap_vikings,2025-11-29 10:35:59+00:00,https://mastodonapp.uk/@nickharrison/115632541476227438,iPhone,0,,en,Copenhagen #airport #terminal3🛫#style #design #art #copenhagan #travel #aircraft #copenhagen #denmark #iphone #snap_moods #snap_depthoffield #snap_vip_member #snap_artgallery #snap_challenge #snap_denmark #snap_edit #snap_scandinavia #snap_scandi #snap_nordic #snap_denmark #snap_europe #snap_shops #snap_airport #snap_fun #snap_world #snap_travel #snap_vikings,0.0,neutral,neutral,0.9225016236305237,0.0,excitement,0.13115672767162323,False,toxicity,0.000479326699860394
115632410867135447,mastodon,RuCage@troet.cafe,"@abeorch So here are the informations (finally). Sorry, I only have everything in German.All the error messages I'm posting here are the same on all devices! #iPhone, #iPad, and #Linux. Only the MacOS version starts up without any problems (which is why my login details are correct). I'm responding in several steps because the number of characters is limited here on @Mastodon ( @ivory) 🙄",2025-11-29 10:02:43+00:00,https://troet.cafe/@RuCage/115632410687130819,iPhone,0,,en,"@abeorch So here are the informations (finally). Sorry, I only have everything in German.All the error messages I'm posting here are the same on all devices! #iPhone, #iPad, and #Linux. Only the MacOS version starts up without any problems (which is why my login details are correct). I'm responding in several steps because the number of characters is limited here on @Mastodon ( @ivory) 🙄",-0.3887,negative,negative,0.5942261219024658,-0.5942261219024658,caring,0.17060773074626923,False,toxicity,0.0004260691348463297
115632402707915391,mastodon,apfeltalk@creators.social,iOS-26-Akku macht Probleme? Diese 5 Einstellungen helfen weiterNach dem Update auf iOS 26 hält der iPhone-Akku bei vielen Nutzer:innen spürbar kürzer durch. Einige Anpassungen in den Einstellungen können die Laufzeit wieder verbessern.Erste Schritte bei Akku-Phttps://www.apfeltalk.de/magazin/news/ios-26-akku-macht-probleme-diese-5-einstellungen-helfen-weiter/#iPhone #News #Akku #AlwaysOnDisplay #Batterielaufzeit #Dunkelmodus #IOS26 #iPhone #OptimiertesLaden #Siri #Stromsparmodus,2025-11-29 10:00:41+00:00,https://creators.social/@apfeltalk/115632402707410903,iPhone,0,,de,iOS-26 battery makes problems? These 5 settings help further after the update on iOS 26 keep the iPhone battery at many users: some adjustments in the settings can improve the runtime.First steps at Aku-Phttps://www.appallalk.de/magazin/ios-26-actual-diese-5-assist-help-help-more/#iPhone #Akku #AlwaysOnDisplay #Bater time #Dunkel mode #IOS26 #iPhone #Optimized Load #Siri #Stream saving mode,0.7096,positive,neutral,0.5578144788742065,0.0,curiosity,0.11892475932836533,False,toxicity,0.0003623509546741843
115632385670513676,mastodon,hermesjpappas@pixelfed.social,My baby boy. #cat #cats #tabby #cute #catsofpixelfed #bnw #blackandwhite #monochrome #blackandwhitephotography #iphone #moodapp,2025-11-29 09:56:18+00:00,https://pixelfed.social/p/hermesjpappas/900321523708944136,iPhone,0,,en,My baby boy. #cat #cats #tabby #cute #catsofpixelfed #bnw #blackandwhite #monochrome #blackandwhitephotography #iphone #moodapp,0.4588,positive,positive,0.785851776599884,0.785851776599884,caring,0.08312112092971802,False,white,0.22946391999721527
115632307103238580,mastodon,nsonmez84,"AirPods ile iPhone üzerinden işitme testi yapabileceğinizi biliyor muydunuz? Apple'ın bu gizli özelliği sayesinde ses ayarlarınızı kişiselleştirin, dinleme deneyiminizi optimize edin! Hemen deneyin!🚩 #AirPods #İşitmeTesti #Apple #Teknoloji #iPhone",2025-11-29 09:36:22.905000+00:00,https://mastodon.social/@nsonmez84/115632307103238580,iPhone,0,,tr,"Did you know that you can do an audio test on your iPhone with AirPods? Personalise your audio settings by this secret feature of Apple, and optimise your listening experience! ooh #AirPods #EducationTest #Apple #Technology #iPhone",0.4926,positive,positive,0.8468781113624573,0.8468781113624573,excitement,0.1517971009016037,False,toxicity,0.0004265136958565563
115632165991023560,mastodon,AppleX4_,"Las APPS ÚTILES de verdad para iPhone y iPad no son las típicas.Hoy en AppleX4 te traigo 6 joyas gratuitas, poco conocidas y perfectas para exprimir tus dispositivos.Aquí las tienes todas 👉 https://wp.me/p4oJRF-3GR#iPhone #iPad #Apps",2025-11-29 09:00:29.708000+00:00,https://mastodon.social/@AppleX4_/115632165991023560,iPhone,0,,es,"The true APPS for iPhone and iPad are not typical.Today on AppleX4 I bring you 6 free, very well-known and perfect jojas to express your devices.Here you have all of them ► https://wp.me/p4oJRF-3GR#iPhone #iPad #Apps",0.8768,positive,positive,0.8523727059364319,0.8523727059364319,caring,0.10483230650424957,False,toxicity,0.00036123377503827214
115632129190731073,mastodon,miju2313,#Wanderung im #BayerischenWald am #Schwellhäusl entlang.#Wandern #Outdoor #Natur #BayerischerWald #Bayern #Berge #Fotografie #Photography #iPhone #Schwellgraben,2025-11-29 08:51:08.183000+00:00,https://mastodon.social/@miju2313/115632129190731073,iPhone,9,,de,#Wandern #Outdoor #Natur #BayerrichWald #Bayern #Beaern #Photo #iPhone #Schwellgraben,0.0,neutral,neutral,0.8899340033531189,0.0,curiosity,0.07205830514431,False,toxicity,0.00046838659909553826
115631781417601786,mastodon,mac4ever,Black Friday UGREEN : la batterie 165W rétractable et les tags Localiser à prix cassés (et pas que)https://mac4ever.com/193246#Mac4Ever #chargeurs #iPhone #Mac #UGREEN,2025-11-29 07:22:41.582000+00:00,https://mastodon.social/@mac4ever/115631781417601786,iPhone,0,,fr,Black Friday UGREEN : the 165W retracable battery and the tags Localise at reduced price (and not only)https://mac4ever.com/193246#Mac4Ever #cargerers #iPhone #Mac #UGREEN,0.0,neutral,positive,0.527203381061554,0.527203381061554,excitement,0.08840597420930862,False,black,0.060872115194797516
